Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
94.673828	0.29012534	-0.00373633	0.053768244	0.10380016	1.4468081	1.73693344	0.167503943	4.63054964
95.673828	0.2748861	-0.003929814	0.054511312	0.10509282	1.4520262	1.7269123	0.158705564	4.6309647
96.673828	0.27412197	-0.004060816	0.055214621	0.10636844	1.457984	1.73210597	0.158264393	4.64807397
97.673828	0.26992139	-0.003902579	0.055945873	0.10798917	1.4613411	1.73126249	0.155839187	4.65394469
98.673828	0.27210161	-0.004131821	0.056814287	0.10949675	1.4641156	1.73621721	0.157097938	4.66444841
99.673828	0.27610254	-0.004115425	0.057552282	0.11098915	1.4697973	1.74589984	0.159407876	4.68549444
100.67383	0.26897278	-0.004138398	0.058277398	0.11241639	1.4757764	1.74474918	0.155291507	4.69630198
101.67383	0.26789659	-0.00434626	0.059123863	0.11390146	1.4813553	1.74925189	0.154670168	4.71196249
102.67383	0.26948127	-0.004246775	0.059771013	0.11529525	1.4872336	1.75671487	0.155585084	4.73118207
103.67383	0.27703169	-0.004469743	0.060610473	0.1167512	1.4900925	1.76712419	0.159944321	4.74730919
104.67383	0.2640118	-0.004393001	0.061393	0.118393	1.49489	1.7589018	0.152427284	4.7486818
105.67383	0.26656026	-0.004255032	0.062135056	0.12001508	1.50122	1.76778026	0.153898638	4.77022026
106.67383	0.27079412	-0.004215278	0.062814593	0.1214139	1.5035827	1.77437682	0.156343058	4.78154222
107.67383	0.27290252	-0.004505317	0.063672058	0.1228388	1.5125965	1.78549902	0.157560343	4.81069202
108.67383	0.26491567	-0.004605621	0.064358234	0.12411084	1.5185993	1.78351497	0.152949133	4.82071357
109.67383	0.27874279	-0.004591627	0.065085597	0.12557957	1.5239149	1.80265769	0.160932225	4.85048749
110.67383	0.26990828	-0.004666376	0.065854028	0.12704168	1.5273281	1.79723638	0.155831618	4.85189258
111.67383	0.25967753	-0.004633225	0.066665262	0.12869731	1.5289541	1.78863163	0.149924892	4.84653983
112.67383	0.24918552	-0.00472328	0.067460835	0.13019839	1.5364461	1.78563162	0.143867327	4.85852382
113.67383	0.26100469	-0.004863548	0.068149373	0.13143519	1.542766	1.80377069	0.150691128	4.88930269
114.67383	0.25831503	-0.004948691	0.068890251	0.13283181	1.5473449	1.80565993	0.149138252	4.90034973
115.67383	0.25789642	-0.004799494	0.069577836	0.13435619	1.5531993	1.81109572	0.148896568	4.91749432
116.67383	0.25698602	-0.005115636	0.070422001	0.13572837	1.5566649	1.81365092	0.148370948	4.92698072
117.67383	0.25412101	-0.004984198	0.071079321	0.13717444	1.5619345	1.81605551	0.146716834	4.93992451
118.67383	0.26086795	-0.004857647	0.071867228	0.13887681	1.5658913	1.82675925	0.150612181	4.95854185
119.67383	0.25804532	-0.004970307	0.072584987	0.14019968	1.5736279	1.83167322	0.148982535	4.97892902
120.67383	0.25339338	-0.005065427	0.073396862	0.1417283	1.5762689	1.82966228	0.146296736	4.98220008
121.67383	0.25044617	-0.00531143	0.074275024	0.14323862	1.5811247	1.83157087	0.144595164	4.99382027
122.67383	0.25976744	-0.005362821	0.07501553	0.14466824	1.5879467	1.84771414	0.149976801	5.02360754
123.67383	0.24806088	-0.005212027	0.075832188	0.14645235	1.5904087	1.83846958	0.143218016	5.01928698
