Time	epsa	epsc	epsv	sigc	siga	siga*	SqJ2	I1
74.255859	0.012699998	0.020810902	0.054321799	1.3663507	0.913962693	2.280313393	0.527676607	5.013014793
75.255859	0.013007369	0.021527849	0.056063071	1.3771102	0.917821269	2.294931469	0.529904357	5.049151869
76.255859	0.013175892	0.02214036	0.057456609	1.3804818	0.886028041	2.266509841	0.511548528	5.027473441
77.255859	0.013333613	0.022634251	0.058602117	1.3867664	0.901670323	2.288436723	0.520579604	5.061969523
78.255859	0.01384123	0.022999933	0.059841096	1.3876619	0.904797525	2.292459425	0.522385095	5.067783225
79.255859	0.014096689	0.02355423	0.061205152	1.3936025	0.931360141	2.324962641	0.537721028	5.112167641
80.255859	0.014234975	0.023601564	0.061438106	1.3919239	0.939829655	2.331753555	0.542610904	5.115601355
81.255859	0.01429411	0.023792233	0.061878573	1.3946506	0.923170069	2.317820669	0.532992488	5.107121869
82.255859	0.014772291	0.024143057	0.063058399	1.3965547	0.946807067	2.343361767	0.546639315	5.136471167
83.255859	0.01473687	0.024337661	0.063412197	1.3986536	0.925385013	2.324038613	0.534271286	5.121345813
84.255859	0.014958628	0.024637682	0.064233996	1.4039809	0.924413815	2.328394715	0.533710565	5.136356515
85.255859	0.015119242	0.024880763	0.064880766	1.4060979	0.910441831	2.316539731	0.525643836	5.128735531
86.255859	0.015300264	0.02519534	0.065690942	1.4106132	0.934065425	2.344678625	0.539282925	5.165905025
87.255859	0.015183522	0.025418747	0.066021018	1.4128498	0.937666331	2.350516131	0.541361909	5.176215731
88.255859	0.015466512	0.025821725	0.067109965	1.4165231	0.900181645	2.316704745	0.519720115	5.149750945
89.255859	0.015389519	0.026331827	0.068053171	1.4255406	0.903125135	2.328665735	0.52141954	5.179746935
90.255859	0.015561122	0.027001861	0.069564842	1.4358518	0.907672165	2.343523965	0.524044769	5.215227565
91.255859	0.015466798	0.027926775	0.071320347	1.4453242	0.899302113	2.344626313	0.519212317	5.235274713
92.255859	0.015692405	0.028614528	0.072921462	1.4512442	0.897181092	2.348425292	0.517987745	5.250913692
93.255859	0.015720684	0.029418934	0.074558556	1.4585903	0.898851296	2.357441596	0.518952038	5.274622196
94.255859	0.016135005	0.030149728	0.076434463	1.4683927	0.90404015	2.37243285	0.521947824	5.30921825
95.255859	0.016366409	0.030962057	0.07829053	1.4770769	0.904722092	2.381798992	0.522341543	5.335952792
96.255859	0.016565364	0.031711485	0.079988331	1.4812012	0.883733149	2.364934349	0.510223571	5.327336749
97.255859	0.016621118	0.032358069	0.081337258	1.4892632	0.896240981	2.385504181	0.517444972	5.364030581
98.255859	0.017000992	0.032892525	0.082786046	1.4875579	0.907583257	2.395141157	0.523993438	5.370256957
99.255859	0.01716556	0.033171922	0.0835094	1.4908264	0.903262812	2.394089212	0.521499028	5.375742012
100.25586	0.017164065	0.033577293	0.084318653	1.4964801	0.919922897	2.416402997	0.531117732	5.409363197
101.25586	0.017511765	0.033966709	0.085445181	1.4973336	0.915577996	2.412911596	0.528609202	5.407578796
102.25586	0.017743127	0.034199942	0.086143009	1.5000745	0.899648597	2.399723097	0.51941236	5.399872097
103.25586	0.018072838	0.034594934	0.087262705	1.5014957	0.924980729	2.426476429	0.534037873	5.429467829
104.25586	0.018019479	0.034831706	0.087682888	1.5040444	0.92056042	2.42460482	0.531485806	5.43269362
105.25586	0.018260006	0.035175063	0.088610128	1.5071404	0.908502834	2.415643234	0.524524356	5.429924034
106.25586	0.018352116	0.035489529	0.089331172	1.5105232	0.918420909	2.428944109	0.530250559	5.449990509
107.25586	0.018422136	0.035794377	0.090010889	1.5139883	0.939109973	2.453098273	0.542195396	5.481074873
108.25586	0.018609365	0.036197495	0.091004357	1.5195143	0.911507926	2.431022226	0.526259346	5.470050826
109.25586	0.018626802	0.036670096	0.091966994	1.5277351	0.924576018	2.452311118	0.533804213	5.507781318
110.25586	0.018661311	0.037287645	0.093236603	1.5338404	0.921446535	2.455286935	0.531997405	5.522967735
111.25586	0.018605513	0.037910398	0.094426312	1.5395635	0.919153829	2.458717329	0.530673711	5.537844329
112.25586	0.01869666	0.038745567	0.096187793	1.5496804	0.887820425	2.437500825	0.512583361	5.536861625
113.25586	0.018813401	0.039614554	0.098042503	1.5568463	0.901283318	2.458129618	0.520356166	5.571822218
114.25586	0.018973989	0.040648948	0.10027188	1.5677838	0.897831782	2.465615582	0.518363421	5.601183182
115.25586	0.01916944	0.041559476	0.1022884	1.5759709	0.883408885	2.459379785	0.510036358	5.611321585
116.25586	0.019625844	0.042484857	0.10459556	1.581391	0.891347965	2.472738965	0.514619988	5.635520965
117.25586	0.019744672	0.043356039	0.10645675	1.588147	0.914554038	2.502701038	0.52801802	5.678995038
118.25586	0.019923301	0.043860611	0.10764452	1.5907427	0.905632662	2.496375362	0.522867261	5.677860762
119.25586	0.020039709	0.044474781	0.10898927	1.5927215	0.89790289	2.49062439	0.518404475	5.67606739
120.25586	0.020272594	0.04479951	0.10987162	1.5949464	0.914696183	2.509642583	0.528100087	5.699535383
121.25586	0.020487934	0.045103453	0.11069483	1.5958699	0.898171612	2.494041512	0.518559622	5.685781312
122.25586	0.021006683	0.045549884	0.11210645	1.5974295	0.901229987	2.498659487	0.520325376	5.693518487
123.25586	0.021171743	0.046002898	0.11317755	1.601817	0.908978083	2.510795083	0.524798741	5.714429083
124.25586	0.021082558	0.046183508	0.11344957	1.6056118	0.927246247	2.532858047	0.53534587	5.744081647
125.25586	0.0214519	0.046693675	0.11483924	1.6087078	0.917274841	2.525982641	0.529588876	5.743398241
126.25586	0.02156483	0.047004003	0.11557283	1.6108775	0.926380071	2.537257571	0.534845783	5.759012571
127.25586	0.021688923	0.047336161	0.11636125	1.6121109	0.917037205	2.529148105	0.529451677	5.753369905
128.25586	0.021678044	0.047807269	0.11729258	1.6173389	0.923407705	2.540746605	0.533129687	5.775424405
129.25586	0.021722531	0.048461314	0.11864516	1.6236373	0.922674785	2.546312085	0.532706535	5.793586685
130.25586	0.021927569	0.04918842	0.12030441	1.6335878	0.881834103	2.515421903	0.509127157	5.782597503
131.25586	0.022121273	0.050197862	0.122517	1.64382	0.879537071	2.523357071	0.507800965	5.810997071
132.25586	0.022045331	0.051123381	0.1242921	1.6524181	0.904977505	2.557395605	0.522489006	5.862231805
